epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62142,1.07171,2.95248,1.16626,0.02444,1,0.54766,0.37976,0.63826,2.62116,0.84595,8e-05,8e-05,8e-05
2,12.5722,0.8401,2.18589,0.98339,0.02444,1,0.96048,0.78941,0.64614,2.41292,0.80532,0.00017406,0.00017406,0.00017406
3,18.589,0.77317,1.47503,0.92116,0.72024,0.98485,0.98555,0.77419,0.6569,2.13752,0.79152,0.00026152,0.00026152,0.00026152
4,24.6253,0.65587,1.0355,0.89302,0.96968,0.98485,0.98846,0.83863,0.59426,1.35525,0.76023,0.00034238,0.00034238,0.00034238
5,30.5828,0.65347,0.84259,0.88836,0.98285,0.86861,0.97244,0.82244,0.63086,1.15911,0.75901,0.00041664,0.00041664,0.00041664
6,36.4666,0.6446,0.79409,0.90929,0.97374,0.84848,0.95896,0.83358,0.56583,1.18047,0.75184,0.0004843,0.0004843,0.0004843
7,42.3967,0.63246,0.78963,0.89916,0.96246,0.84848,0.94884,0.82854,0.61113,1.12959,0.78015,0.00054536,0.00054536,0.00054536
8,48.3156,0.56205,0.68233,0.89003,0.96815,0.92108,0.96931,0.84315,0.59897,1.05511,0.78971,0.00059982,0.00059982,0.00059982
9,54.2579,0.56503,0.70254,0.85868,0.9541,0.98485,0.97701,0.84036,0.62872,0.98665,0.81172,0.00064768,0.00064768,0.00064768
10,60.1448,0.4916,0.68166,0.85591,0.98506,0.9992,0.98246,0.8651,0.45086,0.86194,0.77145,0.00068894,0.00068894,0.00068894
11,66.0751,0.55384,0.65775,0.85878,0.98506,0.99924,0.98246,0.88443,0.42881,0.90364,0.76932,0.0007236,0.0007236,0.0007236
12,72.0531,0.5045,0.63315,0.86053,0.98355,1,0.98246,0.8666,0.47136,0.91904,0.7857,0.00075166,0.00075166,0.00075166
13,78.1735,0.56085,0.647,0.87538,0.98459,1,0.98216,0.87072,0.45477,0.8605,0.79397,0.00077312,0.00077312,0.00077312
14,84.196,0.52102,0.6281,0.85014,0.98459,1,0.98216,0.87072,0.45477,0.8605,0.79397,0.00078798,0.00078798,0.00078798
15,90.1854,0.51421,0.6284,0.86432,0.98507,0.99994,0.98246,0.88573,0.41061,0.72569,0.78706,0.00079624,0.00079624,0.00079624
16,96.2577,0.49716,0.60373,0.86452,0.98457,1,0.98216,0.92176,0.38572,0.65364,0.78313,0.0007979,0.0007979,0.0007979
17,102.397,0.49394,0.60888,0.87158,0.98464,1,0.98216,0.90987,0.40132,0.6618,0.79636,0.00079296,0.00079296,0.00079296
18,108.435,0.50638,0.59942,0.86723,0.98464,1,0.98216,0.90987,0.40132,0.6618,0.79636,0.00078142,0.00078142,0.00078142
19,114.63,0.47638,0.58329,0.85698,0.98507,0.9999,0.98216,0.90646,0.41519,0.64208,0.80571,0.00076328,0.00076328,0.00076328
20,120.82,0.4745,0.57669,0.87215,0.98507,0.99986,0.98216,0.92206,0.39857,0.62619,0.80815,0.00073854,0.00073854,0.00073854
21,126.891,0.41383,0.6453,0.8596,0.98507,0.99986,0.98216,0.92206,0.39857,0.62619,0.80815,0.00068,0.00068,0.00068
22,132.979,0.41309,0.58602,0.83238,0.98437,1,0.98201,0.93833,0.37465,0.5968,0.81484,0.000614,0.000614,0.000614
23,138.997,0.4081,0.6079,0.84711,0.9841,1,0.98396,0.92441,0.39159,0.59929,0.82292,0.000548,0.000548,0.000548
24,144.954,0.37219,0.56763,0.83684,0.9841,1,0.98396,0.92441,0.39159,0.59929,0.82292,0.000482,0.000482,0.000482
25,151.023,0.3724,0.56123,0.84606,0.98413,1,0.98396,0.9333,0.37829,0.61186,0.81375,0.000416,0.000416,0.000416
26,157.065,0.35181,0.55417,0.83985,0.98413,1,0.98396,0.9333,0.37829,0.61186,0.81375,0.00035,0.00035,0.00035
27,163.129,0.3589,0.58019,0.83257,0.98433,1,0.98604,0.93605,0.36556,0.61186,0.80938,0.000284,0.000284,0.000284
28,169.296,0.36578,0.54924,0.83086,0.98447,1,0.98604,0.94025,0.3441,0.59598,0.80864,0.000218,0.000218,0.000218
29,175.474,0.32413,0.53984,0.8254,0.98447,1,0.98604,0.94025,0.3441,0.59598,0.80864,0.000152,0.000152,0.000152
30,181.681,0.34576,0.56097,0.8382,0.98455,1,0.98604,0.94658,0.32861,0.57628,0.80611,8.6e-05,8.6e-05,8.6e-05
